Latitude,Longitude
42.779093007070614,-86.20504223434439
42.78088053941062,-86.20347099416477
42.780184671348444,-86.20462278529861
42.7790225342309,-86.20014450295152
42.77743896867796,-86.20287705869181
42.78155247657048,-86.1970580367605
42.78122348325676,-86.20281094946958
42.78238247287395,-86.19675155036103
42.779675637430216,-86.20096557741122
42.78203576442814,-86.1991661526973
42.77835772141786,-86.20070039043767
42.78189275362816,-86.2034237126463
42.77995089584709,-86.20552382423023
42.782127360395386,-86.19782199471344
42.781218507649164,-86.20445505707954
