Latitude,Longitude
43.05164092884168,-86.24149745171377
43.0502214375565,-86.24067656380214
43.056578938012656,-86.23833381321116
43.05285586711039,-86.23551640716605
43.05526043947072,-86.23978320911372
43.051723164781116,-86.23959237194617
43.05088487647922,-86.23952187551437
43.057100747109736,-86.23719136621496
43.05241403889388,-86.23124738016267
43.04975196711511,-86.23888338916375
43.05684760666965,-86.23866146330072
43.05346412202123,-86.23889590037048
43.05427350636246,-86.23720588933121
43.05300887485557,-86.23338203696447
43.054379864909485,-86.23207028214738
